customerid, firstname, lastname, address1, address2, city, state, zip, country, region, email, phone, creditcardtype, creditcard, creditcardexpiration, username, "password", age, income, gender
4166, GCEZFX, HDXTLOVWOZ, 8200584644 Dell Way, \N, MCUMDZM, OR, 51032, US, 1, HDXTLOVWOZ@dell.com, 8200584644, 3, 8505808869842441, 2012/09, user4166, password, 55, 20000, M
4167, RCBPKF, MERBZNQZAT, 1185149074 Dell Way, \N, TNXSZQE, RI, 16295, US, 1, MERBZNQZAT@dell.com, 1185149074, 4, 8361233411822469, 2010/10, user4167, password, 67, 40000, M
4168, TUIYHM, QJMDALETFR, 2759130428 Dell Way, \N, RYQHDLJ, DE, 19626, US, 1, QJMDALETFR@dell.com, 2759130428, 4, 9198084942065180, 2012/11, user4168, password, 78, 80000, M
4169, DOAQEK, DIKPMEVDWU, 3193919229 Dell Way, \N, UEXFOCI, OR, 80661, US, 1, DIKPMEVDWU@dell.com, 3193919229, 4, 7315483032260091, 2008/03, user4169, password, 48, 40000, M
4170, LWZWZH, HOTLKXIESM, 6867807306 Dell Way, \N, CYAEGTY, MS, 42020, US, 1, HOTLKXIESM@dell.com, 6867807306, 3, 6153494498226792, 2008/10, user4170, password, 43, 60000, M
4171, IJQPQF, JCPHKTZXWY, 6222707066 Dell Way, \N, XAEQZSA, NJ, 34319, US, 1, JCPHKTZXWY@dell.com, 6222707066, 4, 1551474436186254, 2012/03, user4171, password, 70, 40000, M
4172, JWGOGI, ENTYNQULOV, 6995473326 Dell Way, \N, QFUIFKP, SC, 17966, US, 1, ENTYNQULOV@dell.com, 6995473326, 4, 3779336363077164, 2009/12, user4172, password, 84, 80000, M
4173, DHCMMQ, GKDXFPLAGR, 6224080093 Dell Way, \N, UOWEERH, TN, 44322, US, 1, GKDXFPLAGR@dell.com, 6224080093, 2, 4255214422941208, 2010/12, user4173, password, 33, 80000, F
4174, HDSXJD, BHIRTJXKDM, 6870170407 Dell Way, \N, GIQXPMH, FL, 72692, US, 1, BHIRTJXKDM@dell.com, 6870170407, 4, 6833824275527150, 2012/04, user4174, password, 83, 20000, F
4175, QBUTDC, CUVLRFPDLX, 6411974295 Dell Way, \N, UJNGRRY, IN, 41797, US, 1, CUVLRFPDLX@dell.com, 6411974295, 1, 6853194832801819, 2010/04, user4175, password, 23, 20000, F
4176, WWNYZI, UKZZADLXXV, 2115456562 Dell Way, \N, LEMDDUM, OR, 95116, US, 1, UKZZADLXXV@dell.com, 2115456562, 2, 3432879108469933, 2008/05, user4176, password, 66, 20000, F
4177, FAFNVP, NUPQGNOBZT, 5565126884 Dell Way, \N, NCXHOQG, NY, 86746, US, 1, NUPQGNOBZT@dell.com, 5565126884, 5, 2856574843171984, 2008/12, user4177, password, 49, 40000, M
4178, QWUGKP, WAVKPXJJKL, 9372088629 Dell Way, \N, GSZWYRS, MI, 59072, US, 1, WAVKPXJJKL@dell.com, 9372088629, 4, 5489525148179382, 2009/12, user4178, password, 53, 100000, M
4179, HGGXCH, TMXQVGBGNT, 9539580608 Dell Way, \N, GKRXCDL, AL, 76614, US, 1, TMXQVGBGNT@dell.com, 9539580608, 3, 7503453220706434, 2010/05, user4179, password, 60, 80000, M
4180, VQSCJE, AAAGBGUUNE, 1628128864 Dell Way, \N, MKHPWIJ, SD, 74324, US, 1, AAAGBGUUNE@dell.com, 1628128864, 2, 2008508012164384, 2011/12, user4180, password, 72, 60000, M
4181, MPZQPZ, RWBYQWLUIV, 2910926988 Dell Way, \N, BYRKHMC, LA, 76083, US, 1, RWBYQWLUIV@dell.com, 2910926988, 1, 7384137298446149, 2012/06, user4181, password, 41, 60000, F
4182, HBRHTN, JREFCZOYBN, 5932501245 Dell Way, \N, PLUCNEV, OR, 26131, US, 1, JREFCZOYBN@dell.com, 5932501245, 4, 7064160558860750, 2012/02, user4182, password, 73, 20000, F
4183, LMXYVP, DARCPPDCFO, 9054557502 Dell Way, \N, WICBEVF, OH, 58254, US, 1, DARCPPDCFO@dell.com, 9054557502, 3, 6857037025969476, 2011/09, user4183, password, 79, 20000, F
4184, TAAIEB, AGQPKSVZPD, 1844485956 Dell Way, \N, BQHXWZL, OR, 60993, US, 1, AGQPKSVZPD@dell.com, 1844485956, 2, 3696108938660473, 2012/06, user4184, password, 54, 80000, M
4185, NAROBY, ERIWMILQJC, 8107294854 Dell Way, \N, YHYYSRM, SD, 15991, US, 1, ERIWMILQJC@dell.com, 8107294854, 4, 5837659889832140, 2009/06, user4185, password, 21, 80000, F
4186, SINRNE, ZKQHWHRYFY, 2330940247 Dell Way, \N, WDROQNP, MD, 32860, US, 1, ZKQHWHRYFY@dell.com, 2330940247, 4, 7211837652139366, 2008/06, user4186, password, 29, 100000, M
4187, ROJVOT, MWPTONZNKC, 6768338942 Dell Way, \N, EYSSODY, OH, 83627, US, 1, MWPTONZNKC@dell.com, 6768338942, 5, 3755804668646306, 2011/10, user4187, password, 28, 60000, F
4188, MHYFUV, VNJINWTPBR, 6080808415 Dell Way, \N, ITFLSYG, KY, 83744, US, 1, VNJINWTPBR@dell.com, 6080808415, 1, 6646278923843057, 2011/08, user4188, password, 18, 20000, M
4189, YKRUFF, DOSZHHBZPV, 6267575033 Dell Way, \N, FBNDIWY, UT, 11369, US, 1, DOSZHHBZPV@dell.com, 6267575033, 3, 6552026237361134, 2010/10, user4189, password, 54, 60000, F
4190, EIKJLZ, BLHJNGZIMA, 4126394352 Dell Way, \N, VQISOFS, DE, 82037, US, 1, BLHJNGZIMA@dell.com, 4126394352, 4, 6122114530298859, 2012/04, user4190, password, 72, 20000, M
4191, EJBDLN, KUARUIEUEU, 7642652865 Dell Way, \N, DXJJQNE, WV, 33817, US, 1, KUARUIEUEU@dell.com, 7642652865, 5, 6074060425627977, 2010/11, user4191, password, 31, 80000, F
4192, GURTFM, TWGCBBHVFE, 5641754038 Dell Way, \N, EPURTTY, MO, 62431, US, 1, TWGCBBHVFE@dell.com, 5641754038, 5, 4852388617116958, 2011/08, user4192, password, 65, 100000, F
4193, IRPULM, BONDVJIZNX, 5821712531 Dell Way, \N, TFRNEDC, NY, 20371, US, 1, BONDVJIZNX@dell.com, 5821712531, 2, 7621646797750146, 2008/04, user4193, password, 28, 60000, M
4194, TILFKZ, TNUCWUQTOW, 4654103373 Dell Way, \N, KBAOESR, OK, 17030, US, 1, TNUCWUQTOW@dell.com, 4654103373, 5, 4520336819812656, 2010/06, user4194, password, 46, 40000, M
4195, VNDVGR, QJNKAHYWRA, 1449642799 Dell Way, \N, WGEPXXR, KS, 82931, US, 1, QJNKAHYWRA@dell.com, 1449642799, 5, 3161985109094530, 2010/02, user4195, password, 18, 40000, M
4196, DCXVSH, ICHPBEHBBN, 2800360251 Dell Way, \N, GQLDHTY, KY, 64536, US, 1, ICHPBEHBBN@dell.com, 2800360251, 4, 7746929566375912, 2009/01, user4196, password, 47, 40000, F
4197, IEVQNY, YCZCKBDXHU, 5102998536 Dell Way, \N, JLBCKKS, NH, 26070, US, 1, YCZCKBDXHU@dell.com, 5102998536, 5, 3041484287474304, 2012/02, user4197, password, 44, 20000, F
4198, FUVETY, DVIFZGMTQY, 6600013856 Dell Way, \N, VSIFKYK, UT, 76935, US, 1, DVIFZGMTQY@dell.com, 6600013856, 4, 9107241900637748, 2012/12, user4198, password, 34, 20000, M
4199, BJMANH, JSHQEAGDVY, 1405011478 Dell Way, \N, LBJKLGD, AZ, 99203, US, 1, JSHQEAGDVY@dell.com, 1405011478, 1, 9232293198816480, 2009/04, user4199, password, 65, 40000, M
4200, CJCKSV, RIZSODONPP, 1513115159 Dell Way, \N, XZBDDDD, DE, 26250, US, 1, RIZSODONPP@dell.com, 1513115159, 3, 4932044303044677, 2011/10, user4200, password, 21, 100000, F
4201, EFWZXF, ZPUCDHRSFR, 5588756626 Dell Way, \N, UJUXMYB, NC, 46589, US, 1, ZPUCDHRSFR@dell.com, 5588756626, 2, 2798403609544039, 2010/01, user4201, password, 43, 80000, F
4202, FRELQT, FTXMKPSBJB, 4732347371 Dell Way, \N, WHNVJCF, TX, 40175, US, 1, FTXMKPSBJB@dell.com, 4732347371, 3, 4560269748792052, 2011/02, user4202, password, 66, 100000, M
4203, VKLPPF, MCPCURMWNT, 2836497331 Dell Way, \N, KICMOZV, WI, 44058, US, 1, MCPCURMWNT@dell.com, 2836497331, 4, 5567648668307812, 2012/09, user4203, password, 41, 80000, F
4204, UHTZUV, OWQGJMTCWC, 1492966157 Dell Way, \N, FJQEEPO, LA, 38798, US, 1, OWQGJMTCWC@dell.com, 1492966157, 2, 1286052851472050, 2009/12, user4204, password, 29, 20000, F
4205, XCBSRX, JYGWRJTUOC, 4280940797 Dell Way, \N, KTHAHQI, KY, 89695, US, 1, JYGWRJTUOC@dell.com, 4280940797, 4, 8558976199477912, 2010/11, user4205, password, 25, 60000, M
4206, DDRBMP, IJHRCBGFMZ, 8751265389 Dell Way, \N, MMHDVQA, FL, 41277, US, 1, IJHRCBGFMZ@dell.com, 8751265389, 4, 2889560159295797, 2012/02, user4206, password, 31, 20000, F
4207, WDTLLC, SDFUKLGKYT, 8849780349 Dell Way, \N, RBPICUR, WI, 54170, US, 1, SDFUKLGKYT@dell.com, 8849780349, 5, 6441134278662503, 2008/01, user4207, password, 79, 100000, F
4208, PJQSBT, XWEJDOHWGJ, 4140343386 Dell Way, \N, MOMGFLT, CA, 41180, US, 1, XWEJDOHWGJ@dell.com, 4140343386, 1, 4221778692677617, 2008/01, user4208, password, 55, 80000, F
4209, DMMXKI, BTLQBIWLVK, 1465139919 Dell Way, \N, XBQJVSS, DE, 88479, US, 1, BTLQBIWLVK@dell.com, 1465139919, 2, 9367847491055728, 2010/02, user4209, password, 42, 80000, M
4210, VPADRU, PHWYDHTOFV, 7361280431 Dell Way, \N, EOQXGUU, IN, 23200, US, 1, PHWYDHTOFV@dell.com, 7361280431, 5, 3589046981651336, 2008/07, user4210, password, 84, 100000, F
4211, YAVSPD, OOGWHUCDZQ, 9810070814 Dell Way, \N, TXXORFR, MA, 17304, US, 1, OOGWHUCDZQ@dell.com, 9810070814, 3, 6923526812344790, 2012/04, user4211, password, 79, 100000, F
4212, ROWUDL, BZSVBWVSPS, 6101836862 Dell Way, \N, QDJVVTX, SD, 25230, US, 1, BZSVBWVSPS@dell.com, 6101836862, 4, 4976196338422597, 2010/07, user4212, password, 70, 20000, F
4213, PWFAXE, TTGPPZFHPJ, 1341734404 Dell Way, \N, RKFLIAP, VA, 76051, US, 1, TTGPPZFHPJ@dell.com, 1341734404, 2, 3392607814632356, 2011/05, user4213, password, 42, 40000, F
4214, NJESDX, ZTMYYUOILZ, 5957959264 Dell Way, \N, NWHOMFH, MT, 54570, US, 1, ZTMYYUOILZ@dell.com, 5957959264, 2, 8865773909259588, 2012/08, user4214, password, 26, 60000, F
4215, HDDECW, RBVLPEXORT, 4776554760 Dell Way, \N, WGGBNTO, AZ, 11454, US, 1, RBVLPEXORT@dell.com, 4776554760, 5, 6730170341674239, 2010/05, user4215, password, 64, 100000, M
4216, UZQRRS, NCHRZWJTSP, 4567396503 Dell Way, \N, ZUDTIFT, OR, 25710, US, 1, NCHRZWJTSP@dell.com, 4567396503, 2, 6131682191975415, 2008/02, user4216, password, 25, 100000, F
4217, TMTLZV, TQVQZPJPPD, 7079844092 Dell Way, \N, SILYCEC, MO, 50387, US, 1, TQVQZPJPPD@dell.com, 7079844092, 3, 5851177456323058, 2011/04, user4217, password, 63, 60000, M
4218, JZUFTK, BKKQTAFWTN, 5066935129 Dell Way, \N, HRPMUCX, MI, 63737, US, 1, BKKQTAFWTN@dell.com, 5066935129, 2, 9287547538522632, 2008/10, user4218, password, 70, 60000, M
4219, MQNXRX, IIQINNBBUS, 3269411817 Dell Way, \N, QGMTEYI, NJ, 25337, US, 1, IIQINNBBUS@dell.com, 3269411817, 4, 9441797468811276, 2012/02, user4219, password, 69, 60000, M
4220, FJMDRU, UZIHAJCTAJ, 3640103358 Dell Way, \N, GTNECEJ, KY, 87099, US, 1, UZIHAJCTAJ@dell.com, 3640103358, 2, 1009455436374992, 2012/10, user4220, password, 76, 40000, F
4221, HJTCET, KLUUONUXUO, 5094705452 Dell Way, \N, LYQPIYL, NH, 33573, US, 1, KLUUONUXUO@dell.com, 5094705452, 4, 1164343158248811, 2009/10, user4221, password, 27, 60000, F
4222, XQJQBV, KVJYQHSETR, 1248049222 Dell Way, \N, UIZTUPA, IA, 27770, US, 1, KVJYQHSETR@dell.com, 1248049222, 3, 1238210268318653, 2008/01, user4222, password, 34, 20000, M
4223, PRSKCN, UBDBTHULCD, 3188232364 Dell Way, \N, LVXAVEF, UT, 68013, US, 1, UBDBTHULCD@dell.com, 3188232364, 1, 7062214239034802, 2010/01, user4223, password, 42, 20000, M
4224, ALWOGX, RIRZDCBGNX, 6800021795 Dell Way, \N, EOTITPZ, AK, 67277, US, 1, RIRZDCBGNX@dell.com, 6800021795, 3, 7363735570106656, 2012/07, user4224, password, 51, 20000, M
4225, IOGFGO, XGRAHYNFCC, 9169367917 Dell Way, \N, YLWOKWF, AR, 40281, US, 1, XGRAHYNFCC@dell.com, 9169367917, 1, 8797662044409663, 2009/01, user4225, password, 80, 80000, M
4226, CYVQVB, HVJGJOILNT, 4218888566 Dell Way, \N, HCDEHEM, FL, 28450, US, 1, HVJGJOILNT@dell.com, 4218888566, 3, 3046176154166460, 2009/04, user4226, password, 77, 40000, F
4227, QYASGV, BMFQVQDOYG, 4019812460 Dell Way, \N, SCNXPSC, WI, 35682, US, 1, BMFQVQDOYG@dell.com, 4019812460, 1, 5930663262028248, 2008/06, user4227, password, 71, 80000, F
4228, TMQPOD, UEYLIMKOFM, 6783898299 Dell Way, \N, CCBVFAC, ND, 26504, US, 1, UEYLIMKOFM@dell.com, 6783898299, 4, 6807557997759432, 2009/06, user4228, password, 21, 20000, M
4229, RSMVNR, TYZGIOLVQO, 7767220410 Dell Way, \N, XLUYOIC, FL, 12027, US, 1, TYZGIOLVQO@dell.com, 7767220410, 3, 5509213207755238, 2011/09, user4229, password, 51, 60000, F
4230, YHYQAX, PHGESBVGYH, 8953292386 Dell Way, \N, AWVJZAJ, OR, 64163, US, 1, PHGESBVGYH@dell.com, 8953292386, 3, 3746863156091422, 2009/01, user4230, password, 71, 40000, F
4231, RXJONQ, USIVNPUUQR, 6128874841 Dell Way, \N, QARRKKG, ID, 95561, US, 1, USIVNPUUQR@dell.com, 6128874841, 4, 9760913751553744, 2009/11, user4231, password, 39, 100000, M
4232, QNJHHB, QDPFYJWQAW, 6814773412 Dell Way, \N, IRGSYNR, MT, 21834, US, 1, QDPFYJWQAW@dell.com, 6814773412, 5, 1319592881947755, 2012/10, user4232, password, 80, 60000, F
4233, FWPGMT, VSRFOIGLQX, 4456164751 Dell Way, \N, SJWFAJJ, NY, 26469, US, 1, VSRFOIGLQX@dell.com, 4456164751, 4, 9610082912724466, 2009/03, user4233, password, 36, 60000, F
4234, VSOPNG, HTVPZHFXZP, 3406496456 Dell Way, \N, TEPDNHI, VT, 91264, US, 1, HTVPZHFXZP@dell.com, 3406496456, 1, 1934324615169316, 2010/08, user4234, password, 30, 40000, F
4235, SYVZFP, UUPBAMAQGF, 5751502034 Dell Way, \N, GJTNRRL, WA, 82977, US, 1, UUPBAMAQGF@dell.com, 5751502034, 3, 4672782570589334, 2011/10, user4235, password, 69, 60000, M
4236, OJYDET, SGUEHKLMQU, 2059243320 Dell Way, \N, GDLXOKS, CO, 86731, US, 1, SGUEHKLMQU@dell.com, 2059243320, 4, 6943756376393140, 2012/03, user4236, password, 47, 40000, M
4237, JNUCFA, WKIGVVXQBA, 9871760682 Dell Way, \N, BYPMRSI, RI, 54931, US, 1, WKIGVVXQBA@dell.com, 9871760682, 4, 7373407666105778, 2009/12, user4237, password, 40, 80000, F
4238, CVRCSC, KZYFWOHXQF, 4641512967 Dell Way, \N, MCWFKRS, MD, 33229, US, 1, KZYFWOHXQF@dell.com, 4641512967, 4, 3051136656664312, 2011/07, user4238, password, 69, 80000, F
4239, KXBMIA, KNWYVTOAGR, 1535014176 Dell Way, \N, XLBODMV, NC, 33320, US, 1, KNWYVTOAGR@dell.com, 1535014176, 2, 8036332161631436, 2011/01, user4239, password, 27, 20000, M
4240, EQGFBU, BAPVOQBGNN, 8371199897 Dell Way, \N, HCRUYFA, WY, 51250, US, 1, BAPVOQBGNN@dell.com, 8371199897, 4, 5464145181234926, 2012/11, user4240, password, 49, 20000, M
4241, RIPLKP, AFEQHKEVSG, 6708093540 Dell Way, \N, MNFRNFD, LA, 96411, US, 1, AFEQHKEVSG@dell.com, 6708093540, 2, 8828035928308965, 2008/06, user4241, password, 48, 80000, M
4242, AEEQEK, VUSFZNYGAL, 5254791144 Dell Way, \N, LRZQVIP, MN, 68675, US, 1, VUSFZNYGAL@dell.com, 5254791144, 3, 1894471909385174, 2012/03, user4242, password, 82, 100000, F
4243, BNOMIJ, FOITNOTZAL, 1381252848 Dell Way, \N, YQHHGTY, OK, 32568, US, 1, FOITNOTZAL@dell.com, 1381252848, 4, 5420528062153608, 2012/07, user4243, password, 82, 20000, F
4244, LMKVSZ, DLMSFLSRKJ, 4590760384 Dell Way, \N, YSPRQIX, NY, 95539, US, 1, DLMSFLSRKJ@dell.com, 4590760384, 4, 5280191969592124, 2009/08, user4244, password, 57, 80000, F
4245, YOVXSH, KKMWDDGMBY, 8732922177 Dell Way, \N, CSPLQHJ, AL, 88957, US, 1, KKMWDDGMBY@dell.com, 8732922177, 2, 5371248301118613, 2009/01, user4245, password, 61, 40000, M
4246, KGHRRS, ENVHUIJTKC, 9776587835 Dell Way, \N, IVSPFTM, CA, 16596, US, 1, ENVHUIJTKC@dell.com, 9776587835, 3, 2110943363979458, 2010/10, user4246, password, 70, 100000, F
4247, ARTSVG, ODBWMUHPDC, 3477101032 Dell Way, \N, ITICGKD, HI, 91162, US, 1, ODBWMUHPDC@dell.com, 3477101032, 4, 7495010024867953, 2012/10, user4247, password, 76, 20000, F
4248, OTGVHJ, WEWRLLVOUP, 9340447959 Dell Way, \N, WWVHABF, IL, 86218, US, 1, WEWRLLVOUP@dell.com, 9340447959, 2, 6504348333459348, 2011/04, user4248, password, 20, 40000, F
4249, GBIQYN, MQYYLMSAJO, 4362026301 Dell Way, \N, WROXWVT, SC, 21094, US, 1, MQYYLMSAJO@dell.com, 4362026301, 3, 4792826469521970, 2010/10, user4249, password, 52, 80000, M
4250, VHVIUL, GTWTLXCATT, 9730268922 Dell Way, \N, PRQLLLO, SD, 96108, US, 1, GTWTLXCATT@dell.com, 9730268922, 2, 7721653011161835, 2010/11, user4250, password, 62, 40000, F
4251, LOZWVS, TOEQQEKKTB, 2537493512 Dell Way, \N, AENMSIL, OH, 59191, US, 1, TOEQQEKKTB@dell.com, 2537493512, 1, 4919609175529331, 2011/05, user4251, password, 63, 40000, M
4252, PBTIUH, MLYRVIKXJP, 7617795346 Dell Way, \N, LVITGAH, ME, 23239, US, 1, MLYRVIKXJP@dell.com, 7617795346, 2, 5727413132321090, 2009/05, user4252, password, 51, 100000, F
4253, FHHMUS, KLNTWLCLWY, 5008857098 Dell Way, \N, TQEUXPX, NV, 83414, US, 1, KLNTWLCLWY@dell.com, 5008857098, 1, 3063685639761388, 2012/12, user4253, password, 69, 20000, F
4254, ZPBRAN, FUJRXUNVOE, 7054371874 Dell Way, \N, AICQGTL, OH, 77894, US, 1, FUJRXUNVOE@dell.com, 7054371874, 4, 7691161545924843, 2009/09, user4254, password, 19, 40000, F
4255, CBJPGD, YYBTMWHQXQ, 9489338810 Dell Way, \N, SNWLZOF, NM, 25234, US, 1, YYBTMWHQXQ@dell.com, 9489338810, 1, 8983639171347023, 2012/05, user4255, password, 33, 20000, F
4256, PRSTPQ, UICRQTOHLC, 7929837160 Dell Way, \N, DXBSCRW, AL, 73723, US, 1, UICRQTOHLC@dell.com, 7929837160, 1, 1775863562244922, 2012/01, user4256, password, 55, 60000, M
4257, FIIVCR, YTIRIPCKSZ, 9499157782 Dell Way, \N, LLCDICW, CA, 20031, US, 1, YTIRIPCKSZ@dell.com, 9499157782, 1, 2554433163255453, 2010/08, user4257, password, 82, 80000, M
4258, FMBWKV, ECETFPMEAX, 6984389223 Dell Way, \N, HEGJBIM, WY, 47458, US, 1, ECETFPMEAX@dell.com, 6984389223, 3, 1644128387793898, 2010/02, user4258, password, 21, 80000, M
4259, CQAYVC, DOHSBMTZTX, 1374575777 Dell Way, \N, FDZOQYZ, IL, 46379, US, 1, DOHSBMTZTX@dell.com, 1374575777, 5, 5553343592677266, 2008/08, user4259, password, 25, 20000, F
4260, CDBFHP, NZRZSQTQWW, 5188590571 Dell Way, \N, PKMOJUY, ME, 66779, US, 1, NZRZSQTQWW@dell.com, 5188590571, 3, 3110203266143799, 2010/09, user4260, password, 52, 80000, M
4261, NWDDJC, UJUKCKHZAR, 2114770038 Dell Way, \N, MOBGNMX, WY, 97725, US, 1, UJUKCKHZAR@dell.com, 2114770038, 3, 7070977719966323, 2010/03, user4261, password, 56, 20000, F
4262, QFMTAW, NLYYSYZJKO, 5936764650 Dell Way, \N, LRCXOCW, NY, 67648, US, 1, NLYYSYZJKO@dell.com, 5936764650, 2, 8834543579258026, 2008/05, user4262, password, 89, 80000, M
4263, MMPIZA, HYSFYCQMNH, 2417307796 Dell Way, \N, OKVQHNH, TN, 80227, US, 1, HYSFYCQMNH@dell.com, 2417307796, 5, 2366566847544163, 2008/08, user4263, password, 72, 80000, F
4264, JYCJFB, CKZEBMSIBD, 6422478953 Dell Way, \N, ERLRZGL, CT, 26372, US, 1, CKZEBMSIBD@dell.com, 6422478953, 2, 8390694623813034, 2009/11, user4264, password, 85, 80000, M
4265, ABACEL, CJMOBUPFYH, 9091947777 Dell Way, \N, QQGXBKC, NY, 69768, US, 1, CJMOBUPFYH@dell.com, 9091947777, 1, 5836369646713138, 2012/09, user4265, password, 42, 100000, M
4266, IYZUAI, GOKAEQZLGP, 3779572569 Dell Way, \N, SDRCFJU, CT, 44665, US, 1, GOKAEQZLGP@dell.com, 3779572569, 5, 1993316944222897, 2011/10, user4266, password, 84, 100000, M
4267, XTTFAI, QBMGAYNQQR, 2634403363 Dell Way, \N, ITXRNAB, TN, 96332, US, 1, QBMGAYNQQR@dell.com, 2634403363, 3, 7803376676049084, 2008/06, user4267, password, 53, 100000, F
4268, FFGOVH, ACIYQYPHHI, 9044879639 Dell Way, \N, EZWEARD, GA, 24097, US, 1, ACIYQYPHHI@dell.com, 9044879639, 2, 6586597774177790, 2009/04, user4268, password, 79, 80000, F
4269, CEIJEL, RDBQSIXBNW, 4213134234 Dell Way, \N, XRXPVCT, OK, 47117, US, 1, RDBQSIXBNW@dell.com, 4213134234, 1, 7299405410420150, 2009/09, user4269, password, 31, 40000, M
4270, NQBZIE, AYWJVXWRUO, 8000234950 Dell Way, \N, OKKRDDC, MO, 29588, US, 1, AYWJVXWRUO@dell.com, 8000234950, 4, 9367958199232818, 2012/12, user4270, password, 76, 60000, M
4271, VMYZMW, WWRTTIOIXY, 9903412878 Dell Way, \N, SOCVQOB, ME, 31974, US, 1, WWRTTIOIXY@dell.com, 9903412878, 2, 2931004844140261, 2011/11, user4271, password, 78, 80000, F
4272, TPWPMT, HGMQVVNUOC, 8894287626 Dell Way, \N, WJTKLER, ME, 60059, US, 1, HGMQVVNUOC@dell.com, 8894287626, 2, 5031365266535431, 2011/11, user4272, password, 76, 60000, F
4273, RBXKIE, XYZSMTGOQQ, 5261579182 Dell Way, \N, HABMSMA, NE, 74199, US, 1, XYZSMTGOQQ@dell.com, 5261579182, 2, 5943272158969194, 2009/09, user4273, password, 90, 100000, M
4274, XIDCFC, BYPVEELUMM, 6601060886 Dell Way, \N, WYEJZTB, MI, 12262, US, 1, BYPVEELUMM@dell.com, 6601060886, 4, 7902152560185642, 2011/08, user4274, password, 60, 60000, F
4275, SQGVSE, LNIPYDBLZZ, 2280359623 Dell Way, \N, PJYJLKJ, AR, 20324, US, 1, LNIPYDBLZZ@dell.com, 2280359623, 4, 8010314851533622, 2011/03, user4275, password, 75, 60000, M
4276, AHOFSB, NHARJLRJBA, 6440106418 Dell Way, \N, IKLSUNV, WA, 27221, US, 1, NHARJLRJBA@dell.com, 6440106418, 4, 4683257657103241, 2009/02, user4276, password, 36, 60000, F
4277, UPCWDK, WVTIMCKNKV, 1768026122 Dell Way, \N, ZDPMYNR, ND, 25592, US, 1, WVTIMCKNKV@dell.com, 1768026122, 5, 3391424893401563, 2009/05, user4277, password, 64, 20000, M
4278, SZCCWX, WFKYPXJKWM, 9800007631 Dell Way, \N, AJLOAZS, CT, 93548, US, 1, WFKYPXJKWM@dell.com, 9800007631, 3, 3587928961496800, 2011/08, user4278, password, 36, 40000, M
4279, JLMHIR, RGHPQSLCSV, 7682446864 Dell Way, \N, OGWNZZL, WI, 49610, US, 1, RGHPQSLCSV@dell.com, 7682446864, 3, 1355457230936735, 2012/11, user4279, password, 64, 40000, F
4280, CQRUIY, BXOUJRMEFT, 5515919790 Dell Way, \N, BTSAERM, WA, 30662, US, 1, BXOUJRMEFT@dell.com, 5515919790, 5, 2244540062732994, 2008/04, user4280, password, 54, 40000, M
4281, EAGCCE, RWNIJSOCTH, 8795347159 Dell Way, \N, VUMMGKS, OR, 40195, US, 1, RWNIJSOCTH@dell.com, 8795347159, 5, 6636742409318686, 2009/02, user4281, password, 58, 60000, F
4282, VQGZIC, MRMFFPZMKT, 3884149908 Dell Way, \N, YXZJQSS, MT, 64861, US, 1, MRMFFPZMKT@dell.com, 3884149908, 5, 7556654773652554, 2012/06, user4282, password, 81, 80000, F
4283, CRKFEB, RJGHITSBSP, 2189518786 Dell Way, \N, BBGUTUK, AZ, 68914, US, 1, RJGHITSBSP@dell.com, 2189518786, 5, 1712560860440135, 2008/08, user4283, password, 29, 20000, F
4284, OILPAV, WHDPZFHPHJ, 4324868469 Dell Way, \N, WCCQMEH, NJ, 20396, US, 1, WHDPZFHPHJ@dell.com, 4324868469, 4, 7765316813252867, 2010/09, user4284, password, 21, 20000, F
4285, NSBIOJ, MEJSMYZVVB, 9767223593 Dell Way, \N, YLOCTEF, CO, 82262, US, 1, MEJSMYZVVB@dell.com, 9767223593, 4, 5834557366091759, 2008/09, user4285, password, 61, 60000, F
4286, RVZBIE, KAQJZMEBKQ, 2316727611 Dell Way, \N, QNJUTMP, OK, 19994, US, 1, KAQJZMEBKQ@dell.com, 2316727611, 4, 8489133127965034, 2011/04, user4286, password, 36, 60000, F
4287, FLKKWL, AFKMJMXZCK, 7909001233 Dell Way, \N, JXDVNWY, NY, 63250, US, 1, AFKMJMXZCK@dell.com, 7909001233, 3, 8637936526909471, 2008/11, user4287, password, 87, 40000, F
4288, JQEUQJ, FDTSBSULCS, 9088142326 Dell Way, \N, PXGLVYB, NH, 41610, US, 1, FDTSBSULCS@dell.com, 9088142326, 4, 2713556508067995, 2012/11, user4288, password, 53, 40000, F
4289, QZDAFH, TXIMSUOLJL, 2454326731 Dell Way, \N, RVHQXXZ, SC, 56226, US, 1, TXIMSUOLJL@dell.com, 2454326731, 4, 4422390970401466, 2011/11, user4289, password, 82, 40000, M
4290, AIBIBY, QNRLBCVNUR, 6348056491 Dell Way, \N, VKOSJJF, NC, 98823, US, 1, QNRLBCVNUR@dell.com, 6348056491, 1, 8537304013501854, 2010/06, user4290, password, 68, 60000, M
4291, TVVRMJ, JXLLTYFKTQ, 2136250999 Dell Way, \N, YMZHRNH, IL, 73082, US, 1, JXLLTYFKTQ@dell.com, 2136250999, 4, 2652289875317365, 2012/03, user4291, password, 89, 60000, F
4292, VGOEPL, QAEPGPJWOV, 3282975609 Dell Way, \N, WVMJDUB, ID, 57101, US, 1, QAEPGPJWOV@dell.com, 3282975609, 1, 7945435010828079, 2009/08, user4292, password, 79, 20000, M
